id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_profile_id,host_profile_url,host_name,host_since,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2539,https://www.airbnb.com/rooms/2539,20251204025441,2025-12-06,previous scrape,Superfast Wi-Fi.  Clean & quiet home by the park,"Bright, serene room in a renovated apartment home within an elevator building<br /><br />New Nectar mattress with cool memory foam for the perfect blend of comfort and support<br /><br />Clean, quiet environment for a restful stay<br /><br />Convenient laundry room available in the building",Close to Prospect Park and Historic Ditmas Park,https://a0.muscache.com/pictures/hosting/Hosting-2539/original/b167eb8e-9b08-49af-886a-407cd8a4eb4d.jpeg,2787,https://www.airbnb.com/users/show/2787,1.462506323032802e+18,https://www.airbnb.com/users/profile/1462506323032802005,John,2008-09-07,17.0,2.0,14.0,11.0,"New York, NY","Educated professional living in Brooklyn.  I love meeting new people, running, hiking, fine foods, traveling, etc.  One of my favorite trips was spending New Year's Eve in London on the Thames River.  Big Ben, spectacular fireworks and light show; and fun times with a good crowd of international tourists....a most memorable night and trip!  Also, I generally approach life with a positive attitude.  I look forward to meeting you.",within an hour,100%,79%,f,https://a0.muscache.com/im/pictures/user/User/original/cf17d21d-33e9-49f3-8c9f-76367fc4853d.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/cf17d21d-33e9-49f3-8c9f-76367fc4853d.jpeg?aki_policy=profile_x_medium,Gravesend,7.0,13.0,"['email', 'phone']",t,t,Neighborhood highlights,Kensington,Brooklyn,40.64529,-73.97238,Private room in condo,Private room,2,,1 shared bath,1.0,,"[""Cleaning available during stay"", ""Wine glasses"", ""Shower gel"", ""Fast wifi \u2013 330 Mbps"", ""Dishes and silverware"", ""Freezer"", ""Refrigerator"", ""Microwave"", ""Washer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dryer"", ""Cleaning products"", ""Bathtub"", ""Clothing storage"", ""Paid parking off premises"", ""Smoke alarm"", ""Coffee maker"", ""Shampoo"", ""Elevator"", ""Hot water"", ""Dedicated workspace"", ""Cooking basics"", ""Laundromat nearby"", ""Bikes"", ""Iron"", ""Lockbox"", ""Portable fans"", ""Kitchen"", ""Body soap"", ""Essentials"", ""Extra pillows and blankets"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Free street parking"", ""Single level home"", ""Backyard"", ""Bed linens"", ""Self check-in"", ""Hair dryer"", ""Conditioner"", ""Ceiling fan"", ""Oven"", ""Dining table"", ""Hangers"", ""Blender""]",,30,730,30.0,30.0,730.0,730.0,30.0,730.0,,t,30,60,90,364,2025-12-06,9,0,0,26,0,0,,2015-12-04,2018-10-19,4.89,4.88,5.0,5.0,5.0,4.75,4.88,,f,7,1,6,0,0.07
2595,https://www.airbnb.com/rooms/2595,20251204025441,2025-12-05,city scrape,Skylit Studio Oasis | Midtown Manhattan Sanctuary,"Prime Midtown | Spacious 500 Sq Ft | Pyramid Skylight | Dedicated Workspace<br /><br />Live like a true New Yorker in this beautifully curated studio, your very own urban oasis in the vibrant core of Midtown Manhattan. Bathed in natural light from a stunning pyramid skylight, this spacious, top-floor retreat in a historic NYC brownstone blends comfort, culture, and convenience. Perfect for professionals, creatives, or anyone seeking an extended stay (3-12 months), it offers the full NYC living experience.","Centrally located in the heart of Manhattan just a few blocks from all subway connections in the very desirable Midtown location a few minutes walk to Times Square, the Theater District, Bryant Park and Herald Square.",https://a0.muscache.com/pictures/hosting/Hosting-2595/original/481f4d62-b252-4411-ae94-ecec8e339126.jpeg,2845,https://www.airbnb.com/users/show/2845,1.4625063262623954e+18,https://www.airbnb.com/users/profile/1462506326262395414,Jennifer,2008-09-09,17.0,2.0,14.0,11.0,"Woodstock, NY","A New Yorker since 2000! My passion is creating beautiful, unique spaces where unforgettable memories are made. It's my pleasure to host people from around the world and meet new faces. Welcome travelers! 

I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher. I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments.

Any questions, please text or call Jennifer at 646.498.8710.",within a day,60%,26%,f,https://a0.muscache.com/im/pictures/user/50fc57af-a6a3-4e88-8f16-efd6cac7c9bc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/50fc57af-a6a3-4e88-8f16-efd6cac7c9bc.jpg?aki_policy=profile_x_medium,Midtown,7.0,9.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Midtown,Manhattan,40.75356,-73.98559,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,"[""Cleaning available during stay"", ""Dishes and silverware"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Bathtub"", ""Baking sheet"", ""Paid parking off premises"", ""Smoke alarm"", ""Coffee maker"", ""TV"", ""Hot water"", ""Dedicated workspace"", ""Cooking basics"", ""Air conditioning"", ""Iron"", ""Keypad"", ""Kitchen"", ""Essentials"", ""Extra pillows and blankets"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Free street parking"", ""Wifi"", ""Ethernet connection"", ""Bed linens"", ""Self check-in"", ""Hair dryer"", ""Oven"", ""Hangers""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,30,60,90,319,2025-12-05,47,0,0,27,0,0,,2009-11-21,2022-06-21,4.68,4.73,4.63,4.77,4.8,4.81,4.4,,f,3,3,0,0,0.24
6848,https://www.airbnb.com/rooms/6848,20251204025441,2025-12-04,city scrape,Only 2 stops to Manhattan studio,"Comfortable studio apartment with super comfortable king size bed and  full kitchen and bathroom located in FABULOUS Williamsburg, Brooklyn.",,https://a0.muscache.com/pictures/e4f031a7-f146-40fd-98fd-b399a940c505.jpg,15991,https://www.airbnb.com/users/show/15991,1.462506783043501e+18,https://www.airbnb.com/users/profile/1462506783043501110,Allen,2009-05-06,16.0,6.0,14.0,11.0,"New York, NY","We love to travel. When we travel we like to stay in a comfortable place that is clean, neat and sweet smelling, for a reasonable price. That's what we rent to you. We love city life but we also love outdoor adventures. We like keep up with all that's new and exciting around New York and we're happy to tell you where to find it. Want to hear the new young musicians that people are excited about or the promising new artists - we'll tell you about them. The best restaurants - ask us.
Want to take a break from the city we'll tell you about wilderness canoeing on the Delaware river - just an hour and a half's drive. We can tell you where to find the great salt water fishing with clean beautiful waters just an hour away from the city or how to take a one day trip by bus to ski in Vermont.


WHY WILLIAMSBURG?

Williamsburg is FABULOUS. It's fast growing and it's fast changing. It's hip. In the 1960's the new and exciting place where culture was blooming was Greenwich Village. In the 70's the SOHO neighborhood was where cheap industrial loft space were being turned into places where the adventurous could move to New York, live cheaply and make the new art, music, and culture. These days Williamsburg has that special chemistry of the New York that's constantly renewing itself.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/15991/profile_pic/1259104907/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15991/profile_pic/1259104907/original.jpg?aki_policy=profile_x_medium,Williamsburg,1.0,1.0,"['email', 'phone']",t,t,,Williamsburg,Brooklyn,40.70935,-73.95342,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,1.0,"[""Dishes and silverware"", ""Refrigerator"", ""Microwave"", ""Carbon monoxide alarm"", ""Washer"", ""Fire extinguisher"", ""Dishwasher"", ""Smoke alarm"", ""Coffee maker"", ""Shampoo"", ""TV"", ""Hot water"", ""Cooking basics"", ""Air conditioning"", ""Iron"", ""Kitchen"", ""Essentials"", ""Extra pillows and blankets"", ""Heating"", ""Stove"", ""Free street parking"", ""Wifi"", ""Bed linens"", ""Hair dryer"", ""Oven"", ""Hangers""]",,30,240,30.0,30.0,240.0,240.0,30.0,240.0,,t,2,32,62,261,2025-12-04,197,4,1,2,4,240,,2009-05-25,2025-11-17,4.6,4.6,4.85,4.85,4.8,4.69,4.59,,f,1,1,0,0,0.98
6872,https://www.airbnb.com/rooms/6872,20251204025441,2025-12-05,city scrape,Uptown Sanctuary w/ Private Bath (Month to Month),"This charming distancing-friendly month-to-month home away from home located in Historic Harlem, Uptown Sanctuary is ideal for lovers of travel, work-life balance, art, soulful living,  culture, and kindness.<br /><br />Spacious bedroom available (if you require more space, please inquiry about the master bedroom with its own ensuite bathroom or renting the whole place).<br /><br />➨ Minimum 30-day stay only, thank you for understanding!<br />➨ Additional fees apply for events and must be approved in advance.","This sweet Harlem sanctuary is a 10-20 minute ride from downtown Manhattan, a 20-25 minute ride from Laguardia Airport and is walking distance to transportation making this location a step away from the city buzz when it's time for intimate social relaxation and restoration.",https://a0.muscache.com/pictures/miso/Hosting-6872/original/50573585-928d-4de4-8c3d-da27a5a2b179.jpeg,16104,https://www.airbnb.com/users/show/16104,1.4625067848742226e+18,https://www.airbnb.com/users/profile/1462506784874222530,Kahshanna,2009-05-07,16.0,6.0,14.0,11.0,"New York, NY","A former life in fashion and wellness has left me well traveled and a lover of all things work-life balance and zen living.  I have great living chemistry with independent, considerate professional females who don't work from home.",within a day,70%,33%,f,https://a0.muscache.com/im/pictures/user/d865acc2-3cba-4f03-bf38-c50819aad378.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d865acc2-3cba-4f03-bf38-c50819aad378.jpg?aki_policy=profile_x_medium,East Harlem,2.0,2.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,East Harlem,Manhattan,40.80107,-73.94255,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Essentials"", ""Heating"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Free street parking"", ""Wifi"", ""Smoke alarm"", ""Host greets you"", ""Elevator"", ""Paid parking garage off premises"", ""Hot water"", ""Kitchen"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""Exterior security cameras on property""]",,30,180,30.0,30.0,180.0,180.0,30.0,180.0,,t,24,54,83,83,2025-12-05,2,1,0,21,0,60,,2022-06-05,2025-10-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,0,2,0,0.05
6990,https://www.airbnb.com/rooms/6990,20251204025441,2025-12-05,city scrape,UES Beautiful Blue Room,Beautiful peaceful healthy home,"Location: Five minutes to Central Park, Museum Mile (Guggenheim Museum, Metropolitan Museum, Whitney Museum, The Cooper Hewitt Museum, The Frick Collection and many more. Movie Stars pepper the hood and the area is considered “The New Downtown”. Today’s hipsters moved uptown to escape the over gentrified neighborhoods, such as the LES, the Village and now Chelsea.<br /><br />Shopping: Many cool consignment shops to get your Haute couture, such as the famous Encore.<br /><br />Food: Around the corner, Gourmet Garage, Japanese, French, Mexican, Health food bars, and Joy Burgers<br /><br />Laundry: There is a laundry service on the corner, drop before 10am and pickup after 5pm, washed, dried and folded for $11. You will not miss a beat on your venture and you can still look good.",https://a0.muscache.com/pictures/45fb4ec7-6856-4e78-a8c4-56bb14a6c588.jpg,16800,https://www.airbnb.com/users/show/16800,1.4625068390763054e+18,https://www.airbnb.com/users/profile/1462506839076305525,Cynthia,2009-05-12,16.0,6.0,14.0,11.0,"New York, NY","Capturing the Steinbeck side of life in its Fillini moment.
Home is a special place, it is a live-in work of art... A great experience I hope all to enjoy...",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/17c4d833-81c5-41a5-a212-c3f249ff1237.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/17c4d833-81c5-41a5-a212-c3f249ff1237.jpg?aki_policy=profile_x_medium,East Harlem,1.0,6.0,"['email', 'phone']",t,t,Neighborhood highlights,East Harlem,Manhattan,40.78778,-73.94759,Private room in rental unit,Private room,1,1.0,1 shared bath,2.0,2.0,"[""Refrigerator"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Room-darkening shades"", ""Clothing storage"", ""Paid parking off premises"", ""Smoke alarm"", ""Coffee maker"", ""TV"", ""Hot water"", ""Air conditioning"", ""Iron"", ""Host greets you"", ""Kitchen"", ""Extra pillows and blankets"", ""Heating"", ""Stove"", ""Free street parking"", ""Wifi"", ""Bed linens"", ""Hair dryer"", ""Hangers""]",,30,120,30.0,30.0,120.0,120.0,30.0,120.0,,t,0,0,0,126,2025-12-05,250,3,1,0,5,180,,2009-10-28,2025-11-18,4.88,4.83,4.95,4.96,4.94,4.85,4.83,,f,1,0,1,0,1.27
7064,https://www.airbnb.com/rooms/7064,20251204025441,2025-12-06,previous scrape,"Amazing location! Wburg. Large, bright & tranquil","Large, private loft-like room in a spacious 2-story apt in the heart of Williamsburg, Brooklyn. The apt is in the heart of a vibrant neighborhood - while there's lots going on outside, inside it is peaceful inside, making it a beautiful base for your visit.","- One stop from the East Village, Lower East Side; an easy ride to other parts of Brooklyn and Manhattan<br /><br />- We are surrounded by innovative restaurants serving delicious food of every kind--Japanese, American, Vietnamese, Korean, French, Italian, Turkish, etc.<br /><br />- Grocery stores (Whole Foods, etc.) and delis nearby<br /><br />- Art galleries, local designers and boutiques all around<br /><br />- Pottery studio right downstairs with a beautiful garden.<br /><br />- Cinema 1 min walk away; art-film house 7-min walk<br /><br />- Two great parks a 10 min walk away (McCarren Park and Domino Park)<br /><br />- This is a really fun area - everything you could want is here!",https://a0.muscache.com/pictures/13708959/7e745a2f_original.jpg,17297,https://www.airbnb.com/users/show/17297,1.462506843226733e+18,https://www.airbnb.com/users/profile/1462506843226733043,Joelle,2009-05-15,16.0,6.0,14.0,11.0,"New York, NY","I have lived in the same apartment in Brooklyn for more than 20 years and I love it. I also love to travel, and have been to Brazil, Peru, Costa Rica, Mexico, Germany, Italy, France as well as all over the US and Canada. I am in my early 50s, curious, responsible, and organized.

Falo muito bem português. Mon français est comme ci comme ça. Mi español es también más o menos.",a few days or more,0%,0%,f,https://a0.muscache.com/im/users/17297/profile_pic/1259105689/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/17297/profile_pic/1259105689/original.jpg?aki_policy=profile_x_medium,Williamsburg,2.0,2.0,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Williamsburg,Brooklyn,40.71248,-73.95881,Private room in loft,Private room,2,,1 shared bath,1.0,,"[""Essentials"", ""Heating"", ""Dishes and silverware"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Refrigerator"", ""Coffee maker"", ""Fast wifi \u2013 273 Mbps"", ""Shampoo"", ""Kitchen"", ""Dedicated workspace"", ""Washer"", ""Hangers"", ""Dryer""]",,30,45,30.0,30.0,45.0,45.0,30.0,45.0,,t,0,0,0,0,2025-12-06,13,0,0,0,0,0,,2010-08-17,2022-09-12,4.91,5.0,4.91,5.0,5.0,5.0,5.0,,f,2,0,2,0,0.07
7097,https://www.airbnb.com/rooms/7097,20251204025441,2025-12-06,previous scrape,"Perfect for Your Parents, With Garden & Patio","Parents/grandparents coming to town or are you just here for work or play? You'll love this Victorian home. You will enjoy your own spacious bedroom and bathroom, with all the privacy you need. Garden access. Central air conditioning.  Hi-def 48-inch smart TV. High-speed internet. King-size bed. (Also a sofa bed if you don't want to share.) <br /><br />We try to greet you upon check-in.<br /><br />NYC short-term rental. registration #: OSE-STRREG-0000008.","Residential, village-like atmosphere. Lots of restaurants.  Better grocery stores (Wegmans, Trader Joes, Whole Foods) are about a 15-minute walk away. Half block to wonderful Fort Greene Park, and Saturday farmers' market. Not close to tourist attractions. Things to do: walk across Brooklyn Bridge. Visit DUMBO flea market on Saturdays. Walk the Brooklyn Heights promenade waterfront. Shop and nightlife in Williamsburg.",https://a0.muscache.com/pictures/aaac19fc-4b4d-475e-8ae5-cd7da106341a.jpg,17571,https://www.airbnb.com/users/show/17571,1.462506848265336e+18,https://www.airbnb.com/users/profile/1462506848265336113,Jane,2009-05-17,16.0,6.0,14.0,11.0,"New York, NY","I appreciate visitors and know New York well, having lived here 40 years (Chicago native). Recently retired editor at a major metropolitan newspaper, and a journalism professor at a top Ivy. 
My favorite NY pastimes are theater and museums.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/18480ece-b17f-4706-98e4-695d7d710115.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/18480ece-b17f-4706-98e4-695d7d710115.jpg?aki_policy=profile_x_medium,Fort Greene,2.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Fort Greene,Brooklyn,40.69194,-73.97389,Private room in guest suite,Private room,2,,1 private bath,,,"[""Wine glasses"", ""Shower gel"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Freezer"", ""Refrigerator"", ""Outdoor dining area"", ""Coffee"", ""Outdoor furniture"", ""Microwave"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Free washer \u2013 In building"", ""Books and reading material"", ""Central air conditioning"", ""Mini fridge"", ""Cleaning products"", ""First aid kit"", ""Free dryer \u2013 In building"", ""Smoke alarm"", ""Coffee maker"", ""Shampoo"", ""Hot water"", ""Dedicated workspace"", ""Private entrance"", ""Garden view"", ""Cooking basics"", ""Shared backyard \u2013 Fully fenced"", ""Iron"", ""Lockbox"", ""Kitchen"", ""Toaster"", ""Hot water kettle"", ""Essentials"", ""Extra pillows and blankets"", ""Heating"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Private patio or balcony"", ""Clothing storage: closet and dresser"", ""Wifi"", ""48 inch HDTV with Roku, standard cable"", ""Free street parking"", ""Bed linens"", ""Self check-in"", ""Hair dryer"", ""Ceiling fan"", ""Paid parking garage off premises"", ""Hangers"", ""Dove Body Wash body soap""]",,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,t,0,0,0,0,2025-12-06,423,31,0,0,37,255,,2010-01-16,2025-09-23,4.89,4.91,4.89,4.97,4.93,4.95,4.82,OSE-STRREG-0000008,t,2,0,2,0,2.19
7801,https://www.airbnb.com/rooms/7801,20251204025441,2025-12-05,city scrape,Sunny Prime Williamsburg Loft with Sauna,"A huge loft in a repurposed factory building in the center of Williamsburg with beautiful sunlight, custom private cedar sauna, multiple plush living rooms, a king bed, work desk with ergonomic desk chair, fully stocked chef's kitchen with dishwasher, bathroom with tub and shower, and lots of lounging spaces. <br /><br />Perfectly located just two blocks walk from the Williamsburg waterfront, McCarran Park, and the Bedford L train stop, and surrounded by incredible restaurants, shopping and nightlife!","We've lived here for over 15 years and love Williamsburg’s vibrant, creative scene. When you arrive, you'll find a printout with our fave shops, restaurants, bars and more in the area.",https://a0.muscache.com/pictures/miso/Hosting-7801/original/a0e0dd80-ec83-4806-b337-a933575acd5c.jpeg,21207,https://www.airbnb.com/users/show/21207,1.4625069513107448e+18,https://www.airbnb.com/users/profile/1462506951310744838,Chaya,2009-06-12,16.0,5.0,14.0,11.0,"New York, NY","We're a couple in our thirties who love to travel and explore. 

When we're home, we love to cook and entertain, and our Brooklyn loft and Hudson Valley farmhouse  reflect that open and welcoming vibe.

Hopefully, our travel dates will coincide, and you can enjoy one of our homes while we're away!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/d0391f8b-e686-4559-9f4a-d795d922540f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d0391f8b-e686-4559-9f4a-d795d922540f.jpg?aki_policy=profile_x_medium,Williamsburg,3.0,4.0,"['email', 'phone']",t,t,Neighborhood highlights,Williamsburg,Brooklyn,40.71880722045898,-73.9561767578125,Entire place,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Cleaning available during stay"", ""Wine glasses"", ""Shower gel"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Freezer"", ""Refrigerator"", ""Coffee"", ""Microwave"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Books and reading material"", ""Room-darkening shades"", ""Cleaning products"", ""Bathtub"", ""First aid kit"", ""Dishwasher"", ""Baking sheet"", ""Clothing storage: wardrobe"", ""Smoke alarm"", ""Coffee maker"", ""Shampoo"", ""Hot water"", ""Dedicated workspace"", ""Private sauna"", ""Fast wifi \u2013 331 Mbps"", ""Cooking basics"", ""Shared backyard \u2013 Fully fenced"", ""Window AC unit"", ""Iron"", ""Stainless steel single oven"", ""Kitchen"", ""Toaster"", ""Hot water kettle"", ""Free dryer \u2013 In unit"", ""Body soap"", ""Free washer \u2013 In unit"", ""Essentials"", ""Extra pillows and blankets"", ""Heating"", ""Record player"", ""Long term stays allowed"", ""Free street parking"", ""Ethernet connection"", ""Board games"", ""Bed linens"", ""156 inch HDTV with Amazon Prime Video, Apple TV, HBO Max, Netflix"", ""Hair dryer"", ""Conditioner"", ""Apple tv and Bose speakers sound system with Bluetooth and aux"", ""Ceiling fan"", ""Paid parking garage off premises"", ""Whirlpool stainless steel gas stove"", ""Dining table"", ""Hangers"", ""Blender""]",,30,120,30.0,30.0,120.0,120.0,30.0,120.0,,t,7,37,67,97,2025-12-05,12,0,0,4,1,0,,2009-08-09,2024-07-31,4.91,4.78,4.67,4.89,4.78,5.0,4.89,,f,1,1,0,0,0.06
60457,https://www.airbnb.com/rooms/60457,20251204025441,2025-12-06,previous scrape,Spacious Greenwich Village Apt,Large one bedroom in the perfect neighborhood with all the amenities you could want.<br />,"Greenwich village is a quiet classic part of NY that still builds off the energy of the East and West Villages to either side of it.  You’ll find everything you could want from your local neighborhood from restaurants and bars to pharmacies, groceries, shopping and of course the famous Washington Square Park with our classic arch.",https://a0.muscache.com/pictures/98823897-8827-422d-bb25-6ffa0150ed43.jpg,99212,https://www.airbnb.com/users/show/99212,1.4625095622037276e+18,https://www.airbnb.com/users/profile/1462509562203727734,Jessica,2010-03-26,15.0,8.0,14.0,11.0,"New York, NY",In a vineyard in Italy (I'm on the left).,,,,f,https://a0.muscache.com/im/users/99212/profile_pic/1269607716/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/99212/profile_pic/1269607716/original.jpg?aki_policy=profile_x_medium,Greenwich Village,1.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Greenwich Village,Manhattan,40.73072,-73.99275,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Essentials"", ""Heating"", ""Carbon monoxide alarm"", ""Wifi"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Host greets you"", ""Shampoo"", ""Hair dryer"", ""Elevator"", ""Hot water"", ""Kitchen"", ""Washer"", ""Fire extinguisher"", ""Hangers"", ""Dryer"", ""TV with standard cable""]",,30,365,30.0,30.0,365.0,365.0,30.0,365.0,,t,0,0,0,0,2025-12-06,9,0,0,0,0,0,,2010-12-07,2019-07-31,4.88,4.71,4.29,4.86,5.0,5.0,4.71,,f,1,1,0,0,0.05
60611,https://www.airbnb.com/rooms/60611,20251204025441,2025-12-05,city scrape,SpaHa Studio Monthly Rental,"This is the real New York City experience: Spanish Harlem all inclusive and a rich blend of cultures all living together and enjoying each others company!! This apartment has hardwood floors, full kitchen, private bathroom and a balcony facing everyone's backyard. We are centrally located and between Lexington & Park Avenue. Just three short blocks to the subway, two blocks to Central Park, and were at the start of the one mile museum walk :)",Our neighborhood is quite safe and everyone takes absolutely great care of each others property :-) We couldn't have better neighbors if we hand picked them ourselves :-),https://a0.muscache.com/pictures/ad70dcaf-4ec7-464f-8b00-badf1530eb9d.jpg,292204,https://www.airbnb.com/users/show/292204,1.462510994449413e+18,https://www.airbnb.com/users/profile/1462510994449413169,Blanca,2010-11-19,15.0,0.0,14.0,11.0,"New York, NY","My husband and I love meeting  people from all walks of life but more importantly we love making someone happy! A glass of wine, a good dinner and great people around us, is all we need :) NOTE: To all possible reservations I need to clarify the following: Just a few weeks ago depending when you read this. I had a guest whom left very disgruntle and unbeknown to me left a very colorful description of a false occurrence that supposedly happened between us. Ryan the guest I'm referring to. Had two unconfirmed guest, and if I wouldn't have caught him he probably would have brought in more! I'm assuming that Ryan's outcry is about the $150/ charge that I requested after I found out that he was accepting guest without my knowledge and he was reported to Airbnb to remove his unauthorized guest. After Airbnb contacted Ryan to remove his guest, Ryan then opened up the lines of communications instantly! Stating that, ""His past experiences with Airbnb and having had guest staying for a few days with him before has never been an issue."" Of cause it's never been an issue before with Ryan because he was never caught!!! Communication isn't key with Ryan! Apparently mentioning to the host that other guest will be joining him isn't in Ryan's radar to communicate! Unfortunately, Ryan has to fabricate extensively in order to extract a discount; since his issue came directly after Ryan violated guest rules and was asked to leave! Please understand that his failure to exercise house rules brought on the action taken against him. Unfortunately, Ryan has his own shortsighted actions to blame.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/28323157-32ec-4df8-ac3d-fcf6075d52e2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/28323157-32ec-4df8-ac3d-fcf6075d52e2.jpg?aki_policy=profile_x_medium,East Harlem,4.0,4.0,"['email', 'phone']",t,t,Neighborhood highlights,East Harlem,Manhattan,40.792667388916016,-73.946533203125,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dishes and silverware"", ""Refrigerator"", ""Coffee"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""TV with standard cable"", ""Smoke alarm"", ""Coffee maker"", ""Hot water"", ""Dedicated workspace"", ""Private entrance"", ""Cooking basics"", ""Laundromat nearby"", ""Air conditioning"", ""Iron"", ""Kitchen"", ""Toaster"", ""Hot water kettle"", ""Essentials"", ""Extra pillows and blankets"", ""Heating"", ""Stove"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Private patio or balcony"", ""Wifi"", ""Free street parking"", ""Backyard"", ""Bed linens"", ""Self check-in"", ""Hair dryer"", ""Oven"", ""Paid parking garage off premises"", ""Dining table"", ""Smart lock"", ""Hangers"", ""Outdoor dining area""]",,30,60,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,30,60,64,158,2025-12-05,197,1,0,27,0,60,,2011-04-22,2025-08-02,4.84,4.85,4.95,4.97,4.98,4.6,4.8,,f,4,4,0,0,1.11
